"Harmonized_name","1986","1992","1998","2004","2010","2014","2017","2020","Topic","Notes"
"ZPRODFIN","N/A","N/A","N/A","N/A","N/A","ZPRODFIN","ZPRODFIN","ZPRODFIN","Income",NA
"ZPSOCIAL","N/A","N/A","N/A","N/A","N/A","ZPSOCIAL","ZPSOCIAL","ZPSOCIAL","Income",NA
"ZPSOCM","N/A","N/A","N/A","N/A","ZPSOCM","ZPSOCM","ZPSOCM","ZPSOCM","Income",NA
"ZRAC","N/A","N/A","N/A","N/A","N/A","ZRAC","ZRAC","ZRAC","Income",NA
"ZRAG","N/A","N/A","N/A","N/A","ZRAG","ZRAG","ZRAG","ZRAG","Income",NA
"ZRENTES","N/A","N/A","N/A","N/A","ZRENTES","ZRENTES","ZRENTES","ZRENTES","Income",NA
"ZRETRAITES","N/A","N/A","N/A","N/A","N/A","ZRETRAITES","ZRETRAITES","ZRETRAITES","Income",NA
"ZRETRAITES_STRICTES","N/A","N/A","N/A","N/A","ZRETRAITES","ZRETRAITES_STRICTES","ZRETRAITES_STRICTES","ZRETRAITES_STRICTES","Income","ZRETRAITES in 2010 is the equivalent of ZRETRAITES_STRICTES"
"ZREVDEC","N/A","N/A","N/A","N/A","ZREVDEC","ZREVDEC","ZREVDEC","ZREVDEC","Income",NA
"ZREVDISP","N/A","N/A","N/A","N/A","ZREVDISP","ZREVDISP","ZREVDISP","ZREVDISP","Income",NA
"ZREVFIN","N/A","N/A","N/A","N/A","ZREVFIN","ZREVFIN","ZREVFIN","ZREVFIN","Income",NA
"ZRIC","N/A","N/A","N/A","N/A","ZRIC","ZRIC","ZRIC","ZRIC","Income",NA
"ZRNC","N/A","N/A","N/A","N/A","ZRNC","ZRNC","ZRNC","ZRNC","Income",NA
"ZSALAIRES","N/A","N/A","N/A","N/A","ZSALAIRES","ZSALAIRES","ZSALAIRES","ZSALAIRES","Income",NA
"ZTHAB","N/A","N/A","N/A","N/A","N/A","ZTHAB","ZTHAB","ZTHAB","Income",NA
"ZVALM","N/A","N/A","N/A","N/A","N/A","ZVALM","ZVALM","ZVALM","Income",NA
"ZVAMM","N/A","N/A","N/A","N/A","N/A","ZVAMM","ZVAMM","ZVAMM","Income",NA
